"","Pool1","Pool2","Pool3","Pool4","Pool5","Pool6","Pool7","Pool8","Pool9","Pool10","Pool11","Pool12","Pool13","Pool14","Pool15","Pool16"
"ENSMUSG00000102693.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951.5",0,1,0,0,0,1,0,1,0,0,0,1,1,1,4,0
"ENSMUSG00000103377.1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"ENSMUSG00000104017.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000103025.1",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"ENSMUSG00000103201.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103147.1",0,0,0,0,2,1,3,1,2,0,2,0,2,1,0,0
"ENSMUSG00000103161.1",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000102331.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102348.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102592.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000102343.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000025900.12",0,1,0,0,0,1,0,2,1,0,2,2,1,0,0,2
"ENSMUSG00000102948.1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000104123.1",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ENSMUSG00000025902.13",0,1,0,0,2,1,1,2,0,1,0,0,0,0,0,0
"ENSMUSG00000104238.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102269.1",6,3,2,3,2,1,2,2,0,3,1,1,2,3,4,3
"ENSMUSG00000104328.1",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000102735.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098104.1",11,15,11,32,11,17,17,23,20,10,15,26,15,29,22,18
"ENSMUSG00000102175.1",9,5,2,4,3,5,3,3,4,5,1,3,6,2,6,9
"ENSMUSG00000103265.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103922.1",34,33,26,48,21,31,31,30,41,8,17,35,30,20,28,25
"ENSMUSG00000033845.13",282,266,244,391,166,257,212,268,296,142,149,274,313,317,283,315
"ENSMUSG00000102275.1",6,12,12,14,2,11,7,9,18,12,4,14,15,9,10,7
"ENSMUSG00000025903.14",473,421,343,679,326,692,324,742,508,229,267,614,702,436,397,550
"ENSMUSG00000033813.15",1086,795,783,1392,849,1655,680,1717,896,347,458,1052,1043,674,716,826
"ENSMUSG00000062588.4",61,42,36,75,40,34,23,55,59,15,33,48,65,47,45,49
"ENSMUSG00000103280.1",7,6,2,9,12,15,5,10,9,3,1,1,8,3,8,9
"ENSMUSG00000002459.17",0,2,0,1,0,5,1,4,0,0,0,1,4,4,4,4
"ENSMUSG00000091305.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102653.1",0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
"ENSMUSG00000085623.1",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000091665.1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000033793.12",506,795,602,674,308,394,376,428,442,389,401,418,366,464,583,450
"ENSMUSG00000104352.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104046.1",4,3,0,4,0,2,5,0,5,1,0,1,1,0,1,1
"ENSMUSG00000102907.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025905.13",0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0
"ENSMUSG00000103519.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774.4",0,2,0,0,0,3,0,1,0,0,1,0,2,0,0,0
"ENSMUSG00000103090.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907.14",1271,1124,846,1587,663,934,610,1037,1488,774,762,1516,1263,1230,1333,1277
"ENSMUSG00000090031.2",69,86,65,104,56,153,43,106,96,37,50,88,141,79,79,89
"ENSMUSG00000087247.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103355.1",7,5,2,4,1,1,3,2,3,1,5,1,5,0,4,6
"ENSMUSG00000102706.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000103845.1",8,9,5,4,4,7,11,13,2,2,2,3,4,6,4,6
"ENSMUSG00000033740.17",16,22,8,9,10,30,20,20,13,13,12,10,23,33,33,39
"ENSMUSG00000103329.2",1,2,1,0,2,0,1,1,0,0,0,1,1,0,0,4
"ENSMUSG00000104385.1",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"ENSMUSG00000102135.1",2,12,5,4,1,2,1,5,4,13,3,7,5,8,10,4
"ENSMUSG00000103282.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000051285.17",250,197,159,279,181,336,167,367,278,131,137,300,391,245,250,356
"ENSMUSG00000098201.1",3,4,2,3,3,5,0,7,2,1,0,7,3,8,5,5
"ENSMUSG00000103509.1",40,37,35,50,35,62,27,39,54,29,16,31,52,53,58,43
"ENSMUSG00000048538.7",31,40,16,44,24,20,18,29,31,21,25,40,24,19,49,36
"ENSMUSG00000077244.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"ENSMUSG00000102768.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797.6",3,3,1,1,0,5,4,7,9,1,0,0,6,2,2,3
"ENSMUSG00000103498.1",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000103067.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000104226.1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903.1",0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
"ENSMUSG00000103557.1",0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1
"ENSMUSG00000025909.16",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000102647.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
"ENSMUSG00000086235.1",3,7,4,7,1,12,7,5,6,5,6,7,3,27,7,6
"ENSMUSG00000102253.1",0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0
"ENSMUSG00000093970.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000103884.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000084353.1",15,24,15,21,17,4,11,13,12,4,12,19,9,14,13,11
"ENSMUSG00000103933.1",92,108,58,130,50,46,58,64,78,50,50,68,72,106,80,108
"ENSMUSG00000076135.1",5,10,14,14,4,13,7,10,16,8,6,17,15,8,18,6
"ENSMUSG00000086195.1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000104504.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000066693.2",13,14,7,12,4,17,14,13,7,2,8,10,8,8,11,14
"ENSMUSG00000102316.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000103819.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102871.1",0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000101571.2",0,0,1,3,2,0,0,1,4,3,2,2,2,2,4,2
"ENSMUSG00000104428.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103411.1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000061024.8",167,221,219,199,91,132,137,122,90,51,80,71,42,86,76,72
"ENSMUSG00000025911.14",96,52,56,98,96,96,91,120,18,3,7,14,21,11,14,24
"ENSMUSG00000079671.8",3,5,6,11,5,11,8,8,4,2,1,2,3,2,2,2
"ENSMUSG00000081441.3",60,77,85,58,36,18,34,18,33,66,49,34,22,49,72,33
"ENSMUSG00000067879.3",0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ENSMUSG00000099827.1",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"ENSMUSG00000025912.16",74,59,50,88,50,87,30,87,128,50,48,88,98,68,95,77
"ENSMUSG00000045210.8",1261,1336,1180,1803,902,1905,1067,1509,1417,698,744,1488,1434,1384,1251,1331
"ENSMUSG00000097893.8",5,3,3,4,3,4,2,11,14,2,5,12,9,4,6,8
"ENSMUSG00000025915.14",1116,1231,907,1609,758,1516,835,1410,1453,789,867,1537,1599,1474,1365,1520
"ENSMUSG00000046334.4",8,5,13,3,3,5,0,4,3,8,8,6,2,6,11,5
"ENSMUSG00000088916.1",3,1,1,2,1,6,1,4,2,2,1,4,8,6,6,2
"ENSMUSG00000046101.16",26,31,18,34,11,20,15,19,30,12,13,18,33,42,33,27
"ENSMUSG00000098234.7",77,65,73,87,38,27,37,59,77,58,83,88,70,84,84,89
"ENSMUSG00000093178.1",8,5,3,10,6,5,3,11,8,2,2,5,4,4,5,6
"ENSMUSG00000099032.2",5,2,0,3,3,4,2,13,9,2,1,5,25,9,8,12
"ENSMUSG00000104025.1",0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1
"ENSMUSG00000025916.10",13,3,3,12,14,5,5,18,18,1,5,14,35,16,10,16
"ENSMUSG00000087199.1",5,3,3,3,3,2,5,5,4,1,2,4,10,8,9,14
"ENSMUSG00000095780.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025917.9",523,498,427,588,308,500,369,451,402,261,293,495,450,480,457,491
"ENSMUSG00000056763.16",405,317,271,373,240,418,219,378,523,239,283,437,524,476,492,493
"ENSMUSG00000102356.1",3,2,3,3,0,4,1,4,4,1,3,4,2,2,4,4
"ENSMUSG00000067851.11",4335,3004,2710,4697,3421,3665,2712,4335,3831,1358,1810,3406,3861,3135,3380,3736
"ENSMUSG00000088153.1",17,13,6,17,15,13,15,14,18,5,3,16,16,11,16,9
"ENSMUSG00000102556.1",36,31,17,19,20,41,15,45,27,7,7,23,16,30,16,18
"ENSMUSG00000042501.12",77,22,30,59,56,95,45,118,54,6,11,18,66,32,57,43
"ENSMUSG00000103810.1",3,0,0,1,1,1,1,1,1,0,2,0,2,2,2,0
"ENSMUSG00000083422.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000081417.1",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000103448.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100212.1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000100648.1",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000048960.13",0,1,1,0,0,2,1,0,0,1,1,3,2,1,5,2
"ENSMUSG00000101827.1",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000103494.1",0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000057715.13",0,0,0,0,0,0,0,5,0,0,0,2,2,1,2,0
"ENSMUSG00000103825.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000099845.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103561.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000101610.1",1,6,5,0,4,1,2,1,5,2,6,1,4,3,4,1
"ENSMUSG00000097628.1",0,1,1,0,1,1,0,0,1,2,1,0,1,0,2,0
"ENSMUSG00000097171.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000016918.15",0,0,0,0,0,0,1,1,1,3,0,1,2,1,0,1
"ENSMUSG00000025938.16",10,7,6,12,6,10,2,10,6,1,5,1,7,4,2,5
"ENSMUSG00000104518.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042414.7",0,1,0,0,1,0,0,0,0,0,1,3,1,0,0,2
"ENSMUSG00000005886.14",1769,1541,1282,2038,1147,1490,1027,1643,1788,962,996,1683,1863,1743,1982,1798
"ENSMUSG00000103506.1",38,30,19,40,26,62,28,53,37,27,19,42,57,52,40,39
"ENSMUSG00000103495.1",3,6,7,0,3,4,4,4,5,3,4,9,3,8,11,6
"ENSMUSG00000099183.1",0,3,1,4,2,1,1,0,4,3,1,2,1,7,7,3
"ENSMUSG00000102639.1",5,5,2,7,0,9,3,5,1,3,2,3,2,6,6,5
"ENSMUSG00000104170.1",3,15,6,3,10,20,10,8,5,7,3,6,5,15,11,4
"ENSMUSG00000087782.1",3,2,1,0,1,2,2,2,2,0,0,2,0,4,3,1
"ENSMUSG00000103085.1",39,50,18,27,33,78,29,36,47,41,25,24,33,58,64,30
"ENSMUSG00000102664.1",11,23,9,13,13,11,14,13,18,11,14,10,5,38,29,13
"ENSMUSG00000101476.1",0,1,1,1,0,3,0,5,4,2,2,3,7,0,1,6
"ENSMUSG00000101171.1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000025935.10",2558,2421,1961,3747,1827,2708,1527,3143,3374,1386,1689,4062,3895,3024,2767,3561
"ENSMUSG00000025937.6",164,196,142,256,117,181,130,210,199,92,117,219,218,216,202,228
"ENSMUSG00000102982.1",7,12,13,5,5,8,6,8,8,7,5,4,10,19,10,5
"ENSMUSG00000067813.3",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"ENSMUSG00000097711.1",5,2,4,9,2,6,5,2,6,1,3,3,3,5,4,1
"ENSMUSG00000102166.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000104209.1",0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
"ENSMUSG00000025932.14",50,20,16,37,21,25,21,25,54,10,9,56,56,37,21,55
"ENSMUSG00000095853.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ENSMUSG00000102588.1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000054493.2",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ENSMUSG00000025930.6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"ENSMUSG00000103492.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081201.1",207,173,137,300,160,211,152,281,243,85,98,259,270,221,166,272
"ENSMUSG00000082193.1",216,188,194,238,117,81,127,112,173,144,180,170,148,218,242,213
"ENSMUSG00000032769.4",4,0,1,5,3,1,1,1,7,0,1,12,8,1,4,10
"ENSMUSG00000088159.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000073737.3",212,156,87,217,132,95,110,116,196,79,84,199,182,200,183,192
"ENSMUSG00000092083.4",0,0,0,0,0,1,0,6,0,0,0,2,3,0,0,1
"ENSMUSG00000102937.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000104149.1",0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1
"ENSMUSG00000025925.14",201,187,182,218,140,124,89,180,227,131,153,230,226,235,257,236
"ENSMUSG00000104379.1",2,2,1,3,2,9,2,7,4,2,1,2,5,5,6,6
"ENSMUSG00000032719.4",0,3,2,1,1,0,0,0,0,0,1,2,3,1,4,2
"ENSMUSG00000100652.1",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000067795.13",0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,2
"ENSMUSG00000043716.13",7101,7041,6000,9471,4478,3740,4725,5452,6937,3996,4984,7410,6384,7939,7865,7735
"ENSMUSG00000025921.7",65,59,44,85,38,54,41,61,84,52,65,65,92,95,95,74
"ENSMUSG00000104165.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000100868.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000025920.19",33,34,27,32,26,10,20,25,27,18,28,33,39,26,29,37
"ENSMUSG00000089982.7",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"ENSMUSG00000025939.17",233,244,183,382,224,411,210,407,330,169,162,337,389,316,292,339
"ENSMUSG00000102457.1",29,27,15,28,17,28,9,30,37,15,30,31,39,23,35,30
"ENSMUSG00000079658.9",453,448,371,672,333,459,312,485,435,191,214,487,437,425,346,376
"ENSMUSG00000097744.1",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
"ENSMUSG00000100959.1",0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"ENSMUSG00000025940.6",110,117,99,161,91,123,75,125,121,90,85,155,134,138,152,150
"ENSMUSG00000025779.10",41,69,36,58,21,101,42,52,37,37,26,41,43,48,41,39
"ENSMUSG00000100093.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091020.3",17,36,22,30,20,35,18,40,16,10,7,34,26,27,13,20
"ENSMUSG00000042686.5",1,2,1,0,2,1,0,5,3,0,0,2,9,1,4,1
