"Sample_id","M1","M3","M4","M14","M15","M16"
"NM_001033352",328,275,305,276,310,305
"NM_001038604",3752,3997,5420,3680,3029,2972
"NM_001083806",0,1,6,1,0,0
"NM_001113474",1726,1597,2111,1567,1220,1281
"NM_178399",1,0,1,2,3,1
"NM_178408",1073,835,911,986,1031,943
"NM_178398",1857,1597,1704,1541,1319,1196
"NM_178679",2,0,2,1,1,2
"NM_178613",801,557,694,802,730,620
"NM_178407",1236,971,1187,882,745,726
"NM_001113563",3264,2506,2846,2847,3094,2742
"NM_001109897",102,104,105,67,70,71
"NM_001256263",0,0,0,0,0,0
"NM_001099325",0,0,0,0,0,0
"NM_001130443",862,788,861,759,700,625
"NM_001130181",3,0,0,1,0,1
"NM_001130485",15383,13569,15012,15195,16298,13919
"NM_001130484",15387,13576,15020,15205,16305,13925
"NM_001122830",240,175,232,190,175,188
"NM_001163637",0,0,0,0,0,1
"NM_177644",234,215,228,185,175,187
"NM_177643",1354,1256,1484,1347,1236,1094
"NM_177642",0,0,0,1,0,0
"NM_177639",1,0,0,0,0,1
"NM_172601",151,137,160,151,167,153
"NM_172589",681,745,954,472,370,334
"NM_172588",1440,1211,1188,990,1071,812
"NM_172765",2090,2022,2388,2293,2147,2210
"NM_172739",586,435,560,425,385,411
"NM_172586",941,913,1134,1099,1091,1036
"NM_172585",5560,5684,6988,4741,4343,4385
"NM_172584",630,556,653,681,644,654
"NM_013715",1633,1450,1673,1413,1270,1166
"NR_105862",24,11,21,10,12,12
"NM_001122738",1849,1407,2009,1506,1513,1529
"NM_001114097",2180,2151,2064,1838,1706,1762
"NM_001198826",5004,4473,4650,4592,4801,4432
"NM_001198861",7014,6305,6931,5526,5140,4595
"NM_001198859",6913,6209,6823,5441,5056,4537
"NM_001198860",7014,6305,6931,5526,5140,4595
"NM_001198841",39,64,78,108,87,102
"NM_177082",0,0,0,0,0,0
"NM_176979",8286,8014,9206,6777,6444,6298
"NM_177075",102,119,148,73,69,66
"NM_176965",77,54,62,48,62,40
"NM_001033039",72,78,65,62,63,50
"NM_026662",1497,1240,1435,1364,1255,1241
"NM_025983",4561,3784,4297,4141,4301,3781
"NM_026660",1427,1461,1528,945,943,884
"NM_026236",2222,2183,2460,2229,1967,1932
"NM_026656",58,33,41,50,57,38
"NM_007814",0,0,0,0,0,0
"NM_009194",388,213,248,148,205,147
"NM_001290434",84,109,140,78,78,90
"NM_001290708",0,1,2,1,0,1
"NM_001164735",1231,911,1040,1017,1184,1040
"NM_053215",0,0,0,0,0,0
"NM_053214",10792,7655,9715,10199,11165,10340
"NM_001290644",4353,3197,4210,4859,5086,4411
"NM_025422",541,286,329,942,1134,817
"NM_001077405",343,142,207,254,265,326
"NM_001256518",682,712,803,638,539,497
"NM_007402",0,0,0,0,0,0
"NM_007401",0,0,0,0,0,0
"NM_007391",0,3,1,0,0,0
"NM_007545",0,0,0,0,0,0
"NM_007726",29,9,12,10,12,4
"NM_007542",65,22,34,9,16,8
"NM_007722",1,1,1,2,0,4
"NM_007719",29,26,30,25,31,42
"NM_011975",18915,15987,17508,18207,18401,14885
"NM_013563",350,336,358,452,390,386
"NM_011972",429,400,442,369,288,302
"NM_011971",3254,2942,3101,3219,3133,2610
"NM_011970",2289,1975,2132,2141,2087,1840
"NM_011683",0,0,0,0,0,0
"NM_025400",192,195,212,251,205,183
"NM_009003",65,71,57,35,22,38
"NM_010003",0,0,0,0,0,0
"NM_008903",439,426,396,230,201,177
"NM_053251",0,0,0,0,0,0
"NM_007514",56,52,43,68,69,72
"NM_009113",960,797,955,1127,1219,1008
"NM_009169",4274,4092,4483,4814,4595,4124
"NM_009168",2,2,3,1,3,2
"NM_146679",0,0,0,2,0,0
"NM_021318",1,2,0,1,1,0
"NM_021316",1,0,0,0,1,1
"NM_023626",1291,954,1195,1366,1425,1288
"NM_023625",294,265,227,242,267,218
"NM_021314",51,67,53,39,37,30
"NM_026114",3264,2703,2889,2785,2462,2043
"NM_146311",0,0,0,0,0,0
"NM_016927",436,335,403,345,329,298
"NM_016926",1651,1493,1647,1297,1240,1218
"NM_175126",100,108,85,60,63,44
"NM_012015",16123,13004,14728,14381,14241,13513
"NM_001024468",19,9,7,5,5,5
"NM_001077694",3,1,2,1,1,1
"NM_001081402",301,250,306,277,236,235
"NM_007979",3,3,1,2,1,1
"NM_008079",528,571,758,637,540,535
"NM_008007",25,38,66,50,39,65
"NM_001290466",1981,1690,1526,1351,1524,1202
"NM_177256",0,0,0,0,0,0
"NM_025659",564,257,243,482,529,419
"NM_025660",35,29,41,24,16,28
"NM_026489",6,3,8,2,8,1
"NM_001122950",3,7,3,1,3,1
"NM_001122949",714,347,304,299,272,198
"NM_001160039",2783,2399,2674,2300,2152,1946
"NR_046291",0,0,1,0,0,0
"NM_001163233",672,610,745,484,562,459
"NM_001163223",0,0,0,0,0,0
