ID	pvalue
GO:0006397	4.885872546910935e-9
GO:0008380	4.637535184643792e-8
GO:0000377	2.8594109208438695e-7
GO:0000398	2.8594109208438695e-7
GO:0000375	4.966921228207907e-7
GO:0045071	5.154512637932521e-6
GO:0002440	7.2644544047488125e-6
GO:0045069	1.6050535626730002e-5
GO:0019079	2.4096641476391084e-5
GO:0002377	5.436841160101372e-5
GO:0045727	8.840292989431109e-5
GO:0019814	6.886059472583633e-7
GO:0005681	8.850979302016402e-7
GO:0140658	5.81095239150775e-6
GO:0140097	1.958001586073699e-5
GO:0140657	2.0457725287806346e-5
GO:0008094	3.7845672601584896e-5
GO:0004386	1.8466172452153524e-4
