Gene stable ID,Gene stable ID version,Human gene name,Human gene stable ID,"Human orthology confidence [0 low, 1 high]",Gene name,Source of gene name
ENSMUSG00000064341,ENSMUSG00000064341.1,MT-ND1,ENSG00000198888,1,mt-Nd1,MGI Symbol
ENSMUSG00000064345,ENSMUSG00000064345.1,MT-ND2,ENSG00000198763,1,mt-Nd2,MGI Symbol
ENSMUSG00000064351,ENSMUSG00000064351.1,MT-CO1,ENSG00000198804,1,mt-Co1,MGI Symbol
ENSMUSG00000064354,ENSMUSG00000064354.1,MT-CO2,ENSG00000198712,1,mt-Co2,MGI Symbol
ENSMUSG00000064356,ENSMUSG00000064356.1,MT-ATP8,ENSG00000228253,0,mt-Atp8,MGI Symbol
ENSMUSG00000064357,ENSMUSG00000064357.1,MT-ATP6,ENSG00000198899,1,mt-Atp6,MGI Symbol
ENSMUSG00000064358,ENSMUSG00000064358.1,MT-CO3,ENSG00000198938,1,mt-Co3,MGI Symbol
ENSMUSG00000064360,ENSMUSG00000064360.1,MT-ND3,ENSG00000198840,1,mt-Nd3,MGI Symbol
ENSMUSG00000065947,ENSMUSG00000065947.1,MT-ND4L,ENSG00000212907,1,mt-Nd4l,MGI Symbol
ENSMUSG00000064363,ENSMUSG00000064363.1,MT-ND4,ENSG00000198886,1,mt-Nd4,MGI Symbol
ENSMUSG00000064367,ENSMUSG00000064367.1,MT-ND5,ENSG00000198786,1,mt-Nd5,MGI Symbol
ENSMUSG00000064368,ENSMUSG00000064368.1,MT-ND6,ENSG00000198695,1,mt-Nd6,MGI Symbol
ENSMUSG00000064370,ENSMUSG00000064370.1,MT-CYB,ENSG00000198727,1,mt-Cytb,MGI Symbol
ENSMUSG00000094915,ENSMUSG00000094915.2,SP100,ENSG00000067066,0,,
ENSMUSG00000079808,ENSMUSG00000079808.4,SP110,ENSG00000135899,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000095666,ENSMUSG00000095666.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000096680,ENSMUSG00000096680.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000095505,ENSMUSG00000095505.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF17,ENSG00000204479,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF6,ENSG00000232423,0,,
ENSMUSG00000094722,ENSMUSG00000094722.2,PRAMEF20,ENSG00000204478,0,,
ENSMUSG00000095250,ENSMUSG00000095250.2,SP110,ENSG00000135899,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF11,ENSG00000239810,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF15,ENSG00000204501,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF25,ENSG00000229571,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF10,ENSG00000187545,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF4,ENSG00000243073,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF5,ENSG00000270601,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF18,ENSG00000279804,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF1,ENSG00000116721,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF13,ENSG00000279169,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF9,ENSG00000204505,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF19,ENSG00000204480,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF26,ENSG00000280267,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF14,ENSG00000204481,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF7,ENSG00000204510,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF2,ENSG00000120952,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF12,ENSG00000116726,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF33,ENSG00000237700,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF8,ENSG00000182330,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF27,ENSG00000274764,0,,
ENSMUSG00000095728,ENSMUSG00000095728.2,PRAMEF17,ENSG00000204479,0,,
